school_year,school_code,school_name,sid,grade_level,el_status,iep,ecodis,days_enrolled_at_school,days_absent_at_school,days_suspended_out_of_school,marking_period,course,final_grade_mark
2018,160,SCHOOL A,20586,9,Current EL,0,1,72,6,0,Fall,Math 9,D-
2017,410,SCHOOL B,339,9,Current EL,1,0,283,0,0,Fall,Math 9,F
2017,410,SCHOOL B,397,9,Current EL,0,0,283,4,0,Fall,Math 9,D-
2017,410,SCHOOL B,497,9,Current EL,0,0,279,19,0,Fall,Math 9,F
2017,410,SCHOOL B,646,9,Current EL,0,0,283,6,0,Fall,Math 9,D
2017,410,SCHOOL B,672,9,Current EL,0,0,283,3,0,Fall,Math 9,C
2017,410,SCHOOL B,720,9,Current EL,0,0,283,3,0,Fall,Math 9,B-
2017,410,SCHOOL B,837,9,Current EL,1,0,283,6,0,Fall,Math 9,B+
2017,410,SCHOOL B,1045,9,Current EL,0,0,283,2,0,Fall,Math 9,D
2017,410,SCHOOL B,1228,9,Current EL,1,0,283,15,0,Fall,Math 9,D-
2017,410,SCHOOL B,1669,9,Current EL,0,0,206,5,0,Fall,Math 9,F
2017,410,SCHOOL B,1827,9,Current EL,0,0,283,11,0,Fall,Math 9,B-
2017,410,SCHOOL B,1890,9,Current EL,0,0,283,3,0,Fall,Math 9,D-
2017,410,SCHOOL B,2059,9,Current EL,1,0,239,6,0,Fall,Math 9,D
2017,410,SCHOOL B,2360,9,Current EL,0,0,283,5,0,Fall,Math 9,F
2017,410,SCHOOL B,2414,9,Current EL,0,0,283,8,0,Fall,Math 9,F
2017,410,SCHOOL B,2480,9,Current EL,0,0,283,37,0,Fall,Math 9,A
2017,410,SCHOOL B,2486,9,Current EL,1,0,342,27,0,Fall,Math 9,D-
2017,410,SCHOOL B,3087,9,Current EL,0,0,283,4,0,Fall,Math 9,F
2017,410,SCHOOL B,3390,9,Current EL,0,0,283,3,0,Fall,Math 9,A+
2017,410,SCHOOL B,3732,9,Current EL,0,0,283,4,0,Fall,Math 9,A-
2017,410,SCHOOL B,3883,9,Current EL,0,0,94,17,0,Fall,Math 9,A+
2017,410,SCHOOL B,4212,9,Current EL,0,0,283,7,0,Fall,Math 9,D+
2017,410,SCHOOL B,4698,9,Current EL,0,0,283,36,0,Fall,Math 9,B
2017,410,SCHOOL B,4756,9,Current EL,0,0,283,6,0,Fall,Math 9,B
2017,410,SCHOOL B,4885,9,Current EL,0,0,283,5,0,Fall,Math 9,A
2017,410,SCHOOL B,4934,9,Current EL,0,0,283,13,0,Fall,Math 9,B
2017,410,SCHOOL B,5162,9,Current EL,0,0,283,3,0,Fall,Math 9,A
2017,410,SCHOOL B,5535,9,Current EL,1,0,283,6,0,Fall,Math 9,D-
2017,410,SCHOOL B,5756,9,Current EL,1,0,283,15,0,Fall,Math 9,F
2017,410,SCHOOL B,6120,9,Current EL,0,0,283,2,0,Fall,Math 9,B
2017,410,SCHOOL B,6312,9,Current EL,0,0,283,8,0,Fall,Math 9,C
2017,410,SCHOOL B,6429,9,Current EL,0,0,283,13,0,Fall,Math 9,B-
2017,410,SCHOOL B,6532,9,Current EL,1,0,283,0,0,Fall,Math 9,A-
2017,410,SCHOOL B,6612,9,Current EL,0,0,283,7,0,Fall,Math 9,F
2017,410,SCHOOL B,6705,9,Current EL,0,0,283,13,0,Fall,Math 9,F
2017,410,SCHOOL B,7141,9,Current EL,0,0,283,17,0,Fall,Math 9,C
2017,410,SCHOOL B,7146,9,Current EL,0,0,283,3,0,Fall,Math 9,B-
2017,410,SCHOOL B,7196,9,Current EL,0,0,283,7,0,Fall,Math 9,A-
2017,410,SCHOOL B,7583,9,Current EL,0,0,283,6,0,Fall,Math 9,D+
2017,410,SCHOOL B,8139,9,Current EL,1,0,283,4,0,Fall,Math 9,F
2017,410,SCHOOL B,8548,9,Current EL,1,0,283,11,0,Fall,Math 9,A+
2017,410,SCHOOL B,8698,9,Current EL,1,0,283,15,0,Fall,Math 9,B
2017,410,SCHOOL B,8726,9,Current EL,0,0,283,5,0,Fall,Math 9,D-
2017,410,SCHOOL B,8935,9,Current EL,0,0,218,5,0,Fall,Math 9,F
2017,410,SCHOOL B,9152,9,Current EL,0,0,283,2,0,Fall,Math 9,C
2017,410,SCHOOL B,9392,9,Current EL,0,0,283,12,0,Fall,Math 9,F
2017,410,SCHOOL B,9752,9,Current EL,0,0,283,18,0,Fall,Math 9,C
2017,410,SCHOOL B,10409,9,Current EL,0,0,283,3,0,Fall,Math 9,B
2017,410,SCHOOL B,10627,9,Current EL,0,0,283,9,0,Fall,Math 9,A
2017,410,SCHOOL B,10886,9,Current EL,0,0,283,9,0,Fall,Math 9,B
2017,410,SCHOOL B,11626,9,Current EL,0,0,283,0,0,Fall,Math 9,F
2017,410,SCHOOL B,11896,9,Current EL,0,0,283,13,0,Fall,Math 9,A-
2017,410,SCHOOL B,12380,9,Current EL,0,0,283,3,0,Fall,Math 9,F
2017,410,SCHOOL B,12992,9,Current EL,0,0,283,9,0,Fall,Math 9,B
2017,410,SCHOOL B,13044,9,Current EL,1,0,283,37,0,Fall,Math 9,C
2017,410,SCHOOL B,13173,9,Current EL,0,0,176,36,0,Fall,Math 9,F
2017,410,SCHOOL B,13226,9,Current EL,0,0,283,0,0,Fall,Math 9,B
2017,410,SCHOOL B,13633,9,Current EL,1,0,283,6,0,Fall,Math 9,C-
2017,410,SCHOOL B,13647,9,Current EL,0,0,283,2,0,Fall,Math 9,B+
2017,410,SCHOOL B,14488,9,Current EL,0,0,283,9,0,Fall,Math 9,B
2017,410,SCHOOL B,14869,9,Current EL,0,0,283,1,0,Fall,Math 9,D
2017,410,SCHOOL B,15302,9,Current EL,0,0,283,4,0,Fall,Math 9,C-
2017,410,SCHOOL B,15360,9,Current EL,0,0,283,5,0,Fall,Math 9,C+
2017,410,SCHOOL B,15607,9,Current EL,0,0,283,1,0,Fall,Math 9,A-
2017,410,SCHOOL B,15910,9,Current EL,0,0,283,9,0,Fall,Math 9,B
2017,410,SCHOOL B,16209,9,Current EL,0,0,153,30,0,Fall,Math 9,F
2017,410,SCHOOL B,16483,9,Current EL,0,0,283,6,0,Fall,Math 9,C
2017,410,SCHOOL B,16492,9,Current EL,0,0,283,1,0,Fall,Math 9,A-
2017,410,SCHOOL B,16831,9,Current EL,0,0,283,2,0,Fall,Math 9,I
2017,410,SCHOOL B,17774,9,Current EL,0,0,283,6,0,Fall,Math 9,D
2017,410,SCHOOL B,17916,9,Current EL,0,0,220,6,0,Fall,Math 9,F
2017,410,SCHOOL B,19089,9,Current EL,0,0,283,2,0,Fall,Math 9,A
2017,410,SCHOOL B,19119,9,Current EL,0,0,283,0,0,Fall,Math 9,B-
2017,410,SCHOOL B,19176,9,Current EL,0,0,283,2,0,Fall,Math 9,C+
2017,410,SCHOOL B,19345,9,Current EL,0,0,283,22,0,Fall,Math 9,D-
2017,410,SCHOOL B,19487,9,Current EL,1,0,283,24,0,Fall,Math 9,B-
2017,410,SCHOOL B,19636,9,Current EL,0,0,283,8,0,Fall,Math 9,C
